Index,Area,Keyword,Name,Rating,Reviews,Address,Phone,Maps Website,Actual Website,Contact Form URL,Maps URL,All Emails,Email Count,Timestamp
11,New York,real estate agency,Prevu,"5,0",,"110 E 25th St, New York, NY 10010, Verenigde Staten",+1 646-603-6868,https://prevu.com,https://www.prevu.com/,,https://www.google.com/maps/place/Prevu/data=!4m7!3m6!1s0x89c25a18440df38d:0x41db57ca0d7213a0!8m2!3d40.7410448!4d-73.9848854!16s%2Fg%2F11ddzkwvwk!19sChIJjfMNRBhawokRoBNyDcpX20E?authuser=0&hl=nl&rclk=1,info@prevu.com,1,2026-04-07T06:44:29.476Z
12,New York,real estate agency,Rachel Realty NYC,"4,7",,"255 W 88th St suite 1B, New York, NY 10024, Verenigde Staten",+1 917-417-1550,https://rachelrealtynyc.com,https://rachelrealtynyc.com,,https://www.google.com/maps/place/Rachel+Realty+NYC/data=!4m7!3m6!1s0x89c2f6287fd017c9:0x6b78817ce2ed228e!8m2!3d40.7898996!4d-73.9757779!16s%2Fg%2F1tct9n7n!19sChIJyRfQfyj2wokRjiLt4nyBeGs?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:44:42.707Z
13,New York,real estate agency,New York Living Solutions @ Keller Williams NYC,"4,9",,"90 John St, New York, NY 10038, Verenigde Staten",+1 212-962-3940,https://nyls.net,https://kwnyc.com,,https://www.google.com/maps/place/New+York+Living+Solutions+@+Keller+Williams+NYC/data=!4m7!3m6!1s0x89c25a3d5c188acd:0xc24da00b76e602d0!8m2!3d40.7079836!4d-74.0064861!16s%2Fg%2F1th7ntqq!19sChIJzYoYXD1awokR0ALmdgugTcI?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:44:59.736Z
14,New York,real estate agency,Digs Realty Group,"5,0",,"161 W 75th St Apt 8d, New York, NY 10023, Verenigde Staten",+1 917-675-0037,https://digsrealtynyc.com,https://digsrealtynyc.com/,https://digsrealtynyc.com/contact/,https://www.google.com/maps/place/Digs+Realty+Group/data=!4m7!3m6!1s0x89c2588974cf2919:0x5222b76039fb085f!8m2!3d40.780544!4d-73.979814!16s%2Fg%2F11b66kb8j5!19sChIJGSnPdIlYwokRXwj7OWC3IlI?authuser=0&hl=nl&rclk=1,dan@digsrealtynyc.com; rebecca@digsrealtynyc.com,2,2026-04-07T06:45:20.603Z
15,New York,real estate agency,Sido New York Real Estate,"5,0",,"147 W 35th St #402, New York, NY 10001, Verenigde Staten",+1 212-706-9079,https://sidonyre.com,https://sidonyre.com/,https://sidonyre.com/contact/,https://www.google.com/maps/place/Sido+New+York+Real+Estate/data=!4m7!3m6!1s0x89c2593e33429869:0x4498ade6eabe!8m2!3d40.7514438!4d-73.9890841!16s%2Fg%2F11spxwk1h4!19sChIJaZhCMz5ZwokRvurmrZhEAAA?authuser=0&hl=nl&rclk=1,info@sidonyre.com,1,2026-04-07T06:45:39.761Z
16,New York,real estate agency,The Prince Team at The Corcoran Group Real Estate,"5,0",,"524 Broadway, New York, NY 10012, Verenigde Staten",+1 646-580-7362,https://princeteamnyc.com,,,https://www.google.com/maps/place/The+Prince+Team+at+The+Corcoran+Group+Real+Estate/data=!4m7!3m6!1s0x89c259eec8f7ea75:0x107090895d7d4368!8m2!3d40.7227995!4d-73.9987995!16s%2Fg%2F11h1yflm22!19sChIJder3yO5ZwokRaEN9XYmQcBA?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:46:08.212Z
17,New York,real estate agency,Josh Rubin - Rubin Team at Douglas Elliman Real Estate NYC,"4,5",,"111 5th Ave 7th Floor, New York, NY 10003, Verenigde Staten",+1 212-400-7653,https://rubinteam.com,,,https://www.google.com/maps/place/Josh+Rubin+-+Rubin+Team+at+Douglas+Elliman+Real+Estate+NYC/data=!4m7!3m6!1s0x89c259a2c674f9ab:0x6128d55d607989b9!8m2!3d40.7384502!4d-73.9912013!16s%2Fg%2F11d_7rl898!19sChIJq_l0xqJZwokRuYl5YF3VKGE?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:46:31.533Z
18,New York,real estate agency,"New York Property Agent, Weimin Tan","5,0",,"641 Lexington Ave 22nd floor, New York, NY 10022, Verenigde Staten",+1 212-380-6134,https://castle-avenue.com,,,"https://www.google.com/maps/place/New+York+Property+Agent,+Weimin+Tan/data=!4m7!3m6!1s0x89c258e5208284e5:0x57f5f139a382d42e!8m2!3d40.7589852!4d-73.9701907!16s%2Fg%2F1tvympqk!19sChIJ5YSCIOVYwokRLtSCoznx9Vc?authuser=0&hl=nl&rclk=1",,0,2026-04-07T06:46:45.797Z
19,New York,real estate broker,REAL New York,"4,8",617,29 W 30th St 4th Fl,+1 212-279-1289,http://www.realnewyork.com/,,,https://www.google.com/maps/place/REAL+New+York/data=!4m7!3m6!1s0x89c259288c8a4311:0xdd5cf15cac27ab61!8m2!3d40.746805!4d-73.9879178!16s%2Fg%2F11jrrqc3d4!19sChIJEUOKjChZwokRYasnrFzxXN0?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:47:45.916Z
20,New York,real estate broker,NestApple,"5,0",141,444 W 19th St Suite 304,+1 855-637-8277,http://www.nestapple.com/,https://www.nestapple.com/,,https://www.google.com/maps/place/NestApple/data=!4m7!3m6!1s0x89c259b8bffea801:0xf39d02c73b1eaf4e!8m2!3d40.7447167!4d-74.00505!16s%2Fg%2F11dyx6g1lc!19sChIJAaj-v7hZwokRTq8eO8cCnfM?authuser=0&hl=nl&rclk=1,info@nestapple.com,1,2026-04-07T06:48:04.525Z
21,New York,real estate broker,Danielle Nazinitsky at Decode Real Estate,"4,9",156,"8 W 126th St, New York, NY 10027, Verenigde Staten",+1 917-979-2259,https://bizzarroagency.com,https://bizzarroagency.com/,https://bizzarroagency.com/contact,https://www.google.com/maps/place/Danielle+Nazinitsky+at+Decode+Real+Estate/data=!4m7!3m6!1s0x89c25971e2ab44b3:0xfdf09a9b51cf9da8!8m2!3d40.758159!4d-73.9652571!16s%2Fg%2F11ghpl352p!19sChIJs0Sr4nFZwokRqJ3PUZua8P0?authuser=0&hl=nl&rclk=1,hello@bizzarroagency.com,1,2026-04-07T06:48:16.639Z
22,New York,real estate broker,Noble Black & Partners Real Estate,"4,9",58,"The Corcoran Group, 590 Madison Ave, New York, NY 10022, Verenigde Staten",+1 347-526-3308,https://nobleblackandpartners.com,https://nobleblackandpartners.com/,https://nobleblackandpartners.com/contact,https://www.google.com/maps/place/Noble+Black+%26+Partners+Real+Estate/data=!4m7!3m6!1s0x89c258fac37f846d:0x655aca340c972710!8m2!3d40.7619479!4d-73.9729011!16s%2Fg%2F11clsdnkh5!19sChIJbYR_w_pYwokRECeXDDTKWmU?authuser=0&hl=nl&rclk=1,,0,2026-04-07T06:48:40.885Z
