url,status,details,load_status,load_time_s,contact_page_status,form_status,fields_filled,filled_fields,failed_fields,validation_status,captcha_status,submit_status,success_status
https://offers.hubspot.com/contact-sales?hubs_signup-url=www.hubspot.com/&hubs_signup-cta=nav-utility-contactsales&hubs_content=www.hubspot.com/&hubs_content-cta=nav-utility-contactsales,Skipped,"Load error: timeout: Timed out receiving message from renderer: 10.603
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://thriveagency.com,Failed,,Loaded,0.9,Opened,Found,9,"first_name,last_name,company,website,email,phone,select:Monthly Marketing Budget*,select:Company Size*,message","full_name,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://e9digital.com/contact,Failed,No contact form found after all strategies,Loaded,12.4,Opened,Not found,,,,,,,
https://umarketing.us/contact-us/,Failed,Submitted but no confirmation detected,Loaded,4.7,Opened,Found,5,"full_name,email,phone,company,select:Services you are interested in","first_name,last_name,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Our Services' (score=50),No confirmation
https://jhseoagency.com,Failed,No contact form found after all strategies,Loaded,2.1,Opened,Not found,,,,,,,
https://demandgrowthdigital.com,Failed,No contact form found after all strategies,Loaded,14.6,Opened,Not found,,,,,,,
https://www.adventureppc.com/contact,Success,Verified thank-you / redirect,Loaded,16.8,Opened,Found,8,"first_name,last_name,email,select:phone_ext-18132866-e8be-4b91-8731-1057da1e99ee,phone,company,website,message","full_name,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),Success detected
https://verbszmarketing.com,Success,Verified thank-you / redirect,Loaded,1.3,Opened,Found,5,"full_name,email,phone,company,message","first_name,last_name,website,job_title,subject,budget,address",,Auto-solved at pre-submit: reCAPTCHA v2,Clicked: 'Submit' (score=120),Success detected
https://www.whatsapp.com/contact,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.432
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://mackmediagroup.com,Success,Verified thank-you / redirect,Loaded,1.6,Not found,Found,7,"first_name,last_name,company,email,phone,select:INTERESTED IN,message","full_name,website,job_title,subject,budget,address",,Auto-solved at pre-submit: reCAPTCHA v2,Clicked: 'Send Request' (score=120),Success detected
https://www.brandingnycity.com/contact/,Failed,No contact form found after all strategies,Loaded,6.0,Opened,Not found,,,,,,,
https://www.sociummedia.com/#free-consultation,Success,Verified thank-you / redirect,Loaded,3.7,Opened,Found,6,"first_name,last_name,email,company,select:How can we help?*,message","full_name,phone,website,job_title,subject,budget,address",,Not present,Clicked: 'Get in touch!' (score=110),Success detected
https://sullivannyc.com/contact/,Failed,Submitted but no confirmation detected,Loaded,2.3,Opened,Found,7,"first_name,last_name,email,phone,job_title,company,message","full_name,website,subject,budget,address",,Not present,Clicked: 'SUBMIT' (score=120),No confirmation
https://www.leadflow.nyc/contact-us,Partial,Submitted but missing:  name,Loaded,4.3,Opened,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Contact us' (score=80),Success detected
https://digitalsavvyny.com/contact-us/,Failed,No contact form found after all strategies,Loaded,6.3,Opened,Not found,,,,,,,
https://auroin.com/contact/,Success,Verified thank-you / redirect,Loaded,4.5,Opened,Found,5,"full_name,email,phone,subject,message","first_name,last_name,company,website,job_title,budget,address",,Auto-solved at post-submit: reCAPTCHA v2,Clicked: 'SEND YOUR MESSAGE' (score=110),Success detected
https://www.thinkjuice.com/,Failed,Form found but no fields filled,Loaded,6.2,Opened,Found,0,,,,,,
https://offers.hubspot.com/contact-sales?hubs_signup-url=www.hubspot.com%2F&hubs_signup-cta=nav-utility-contactsales&hubs_content=www.hubspot.com%2F&hubs_content-cta=nav-utility-contactsales&wfoid=ff0d64acc0.1774963188,Skipped,"Load error: timeout: Timed out receiving message from renderer: 10.704
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://sgsolutionsllc.com,Failed,No contact form found after all strategies,Loaded,0.8,Not found,Not found,,,,,,,
https://www.bestmarketingnyc.com/contact-request-demo/,Failed,No contact form found after all strategies,Loaded,6.9,Opened,Not found,,,,,,,
https://www.thecharlesgrp.com/contact/,Partial,Submitted but missing:  name,Loaded,5.6,Opened,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit' (score=105),Success detected
https://www.ebrandz.in/contactus/,Failed,Submitted but no confirmation detected,Loaded,4.6,Opened,Found,6,"full_name,email,phone,website,budget,message","first_name,last_name,company,job_title,subject,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
https://ninjapromo.io/contacts,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.690
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://onlineculture.co,Skipped,"Load error: timeout: Timed out receiving message from renderer: 18.595
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://musicpromotoday.com,Skipped,"Load error: timeout: Timed out receiving message from renderer: 15.516
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://astoriaadvertising.co/contact/,Failed,No contact form found after all strategies,Loaded,1.6,Opened,Not found,,,,,,,
https://www.clickdigitalads.com/contact,Success,Verified thank-you / redirect,Loaded,3.8,Opened,Found,6,"full_name,email,company,website,select:Current Paid Ads Budget*,message","first_name,last_name,phone,job_title,subject,budget,address",,Auto-solved at post-submit: reCAPTCHA v2,Clicked: 'Submit' (score=105),Success detected
https://changes.agency,Failed,Submitted but no confirmation detected,Loaded,4.5,Not found,Found,3,"email,full_name,message","first_name,last_name,phone,company,website,job_title,subject,budget,address",,Not present,Clicked: '' (score=40),No confirmation
https://www.darling.nyc/contact,Failed,Submitted but no confirmation detected,Loaded,3.1,Opened,Found,5,"full_name,email,phone,company,message","first_name,last_name,website,job_title,subject,budget,address",,Auto-solved at post-submit: reCAPTCHA v2,form.submit(): form[0],No confirmation
https://www.bornsocial.co/contact-us,Skipped,reCAPTCHA v2 rate-limited at pre-submit,Loaded,3.3,Opened,Found,5,"full_name,email,company,phone,message","first_name,last_name,website,job_title,subject,budget,address",,Rate-limited at pre-submit: reCAPTCHA v2,,
https://www.orcanyc.com/,Failed,No contact form found after all strategies,Loaded,4.1,Not found,Not found,,,,,,,
https://www.hozio.com/contact-hozio/,Failed,Submitted but no confirmation detected,Loaded,2.7,Opened,Found,6,"full_name,company,select:4. How can we help you today?,message,email,phone","first_name,last_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit Request' (score=105),No confirmation
https://www.earnseo.com/contact/,Success,Verified thank-you / redirect,Loaded,2.0,Opened,Found,5,"full_name,email,company,phone,message","first_name,last_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),Success detected
https://searchxpro.com/contact/,Failed,No contact form found after all strategies,Loaded,5.0,Opened,Not found,,,,,,,
https://seoinny.com,Failed,,Loaded,5.8,Not found,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://splinternetmarketing.com/contact-us/,Failed,,Loaded,10.7,Not found,Found,8,"full_name,email,company,message,website,phone,address,select:Select Map View","first_name,last_name,job_title,subject,budget",,Image OCR failed at pre-submit,,
https://sureoak.com/contact,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.186
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://www.seoinny.com/contact-us/,Failed,,Loaded,10.0,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://webteammanagement.com,Success,Verified thank-you / redirect,Loaded,19.3,Not found,Found,6,"full_name,email,phone,select:Services Needed *,budget,message","first_name,last_name,company,website,job_title,subject,address",,Auto-solved at pre-submit: Image CAPTCHA,Clicked: 'GET IN TOUCH' (score=120),Success detected
https://webteammanagement.com/#contac,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.055
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://www.24hrmarketing.com/contact,Partial,Submitted but missing: email,Loaded,7.2,Opened,Found,3,"full_name,phone,message","first_name,last_name,email,company,website,job_title,subject,budget,address",,Not present,Clicked: 'SUBMIT' (score=105),Success detected
https://eclipsemarketing.io/contact/,Failed,Submitted but no confirmation detected,Loaded,4.1,Opened,Found,3,"full_name,email,message","first_name,last_name,phone,company,website,job_title,subject,budget,address",,Not present,Clicked: 'SEND MESSAGE' (score=120),No confirmation
https://sosemo.com,Success,Verified thank-you / redirect,Loaded,1.8,Not found,Found,7,"first_name,last_name,company,website,job_title,email,phone","full_name,subject,message,budget,address",,Not present,Clicked: 'Next' (score=65),Success detected
https://primaryposition.com/contact-us/,Skipped,"Load error: timeout: Timed out receiving message from renderer: 17.098
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://brooksinternetmarketing.com/contact/,Failed,Submitted but no confirmation detected,Loaded,10.9,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Auto-solved at post-submit: Image CAPTCHA,Clicked: 'SEND MESSAGE' (score=120),No confirmation
https://www.seotechexperts.com/contact-us.html,Failed,Form found but no fields filled,Loaded,2.9,Opened,Found,0,,,,,,
https://www.sapidseocompany.com/contact/,Failed,Form found but no fields filled,Loaded,3.0,Opened,Found,0,,,,,,
https://2marketing.com/contact-us/,Failed,,Loaded,5.0,Opened,Found,5,"full_name,email,phone,select:Company Size *,message","first_name,last_name,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://seocircular.com/contact-us/,Failed,,Loaded,3.6,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://www.obcido.com/contact,Failed,No contact form found after all strategies,Loaded,3.0,Opened,Not found,,,,,,,
https://blackbirdseo.com/contact/,Failed,No contact form found after all strategies,Loaded,3.0,Opened,Not found,,,,,,,
https://excelseoagency.com,Failed,No contact form found after all strategies,Loaded,10.4,Not found,Not found,,,,,,,
https://new-york-seo.com,Success,Verified thank-you / redirect,Loaded,1.8,Not found,Found,3,"first_name,last_name,email","full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit' (score=120),Success detected
https://nsmodern.com,Failed,No contact form found after all strategies,Loaded,0.8,Not found,Not found,,,,,,,
https://www.internetmarketingfirm.net/contact-us/,Failed,,Loaded,8.9,Opened,Found,4,"full_name,email,phone,message","first_name,last_name,company,website,job_title,subject,budget,address",,Image OCR failed at pre-submit,,
https://simpledigital.io,Failed,No contact form found after all strategies,Loaded,0.8,Not found,Not found,,,,,,,
https://localmediasolutions.net/Local-Media-Solutions-Local-SEO-Company.html,Skipped,"Load error: timeout: Timed out receiving message from renderer: 18.706
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://mediasagasocialseo.com,Skipped,reCAPTCHA v2 rate-limited at pre-submit,Loaded,0.4,Not found,Found,5,"full_name,email,company,website,message","first_name,last_name,phone,job_title,subject,budget,address",,Rate-limited at pre-submit: reCAPTCHA v2,,
https://isadoradigitalagency.com/contact,Failed,Submitted but no confirmation detected,Loaded,5.2,Opened,Found,6,"first_name,job_title,email,phone,company,message","last_name,full_name,website,subject,budget,address",,Not present,Clicked: 'Submit Project Request' (score=90),No confirmation
https://blckpanda-new-york-seo.lovable.app/contact,Failed,Submitted but no confirmation detected,Loaded,4.4,Opened,Found,7,"first_name,last_name,email,phone,company,select:Service Interested In,message","full_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Toggle menu' (score=50),No confirmation
https://spherical.co/contact/,Partial,Submitted but missing:  name,Loaded,8.0,Opened,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit' (score=115),Success detected
https://nobosoft.com,Failed,No contact form found after all strategies,Loaded,1.8,Not found,Not found,,,,,,,
https://cbidigital.com,Failed,Submitted but no confirmation detected,Loaded,7.5,Not found,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: '' (score=70),No confirmation
https://newmedia.com/contact-seo?url=https%3A%2F%2Fnewmedia.com%2F&location=0&service=seo,Failed,Submitted but no confirmation detected,Loaded,7.3,Opened,Found,5,"full_name,email,phone,select:Estimated Project Budget,message","first_name,last_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'SUBMIT' (score=120),No confirmation
https://poirier.agency/contact-us/,Success,Success detected (submit not tracked),Loaded,1.3,Opened,Found,4,"first_name,email,phone,message","last_name,full_name,company,website,job_title,subject,budget,address",,Auto-cleared at pre-submit: Turnstile widget,No submit button found,Success detected
https://seoaudit.software/contact-us/,Success,Verified thank-you / redirect,Loaded,2.3,Opened,Found,5,"full_name,email,subject,select:Department


Sales,message","first_name,last_name,phone,company,website,job_title,budget,address",,Not present,Clicked: 'Send an Email' (score=110),Success detected
https://offers.hubspot.com/contact-sales?hubs_signup-url=www.hubspot.com%2F&hubs_signup-cta=nav-utility-contactsales&hubs_content=www.hubspot.com%2F&hubs_content-cta=nav-utility-contactsales&wfoid=f1f89a6510.1775022449,Failed,Submit failed: No submit button,Loaded,14.8,Opened,Found,7,"first_name,last_name,email,phone,website,select:Employees*,select:Country of Company Headquarters*","full_name,company,job_title,subject,message,budget,address",,Not present,No submit button found,No success detected
https://capcomseo.com,Failed,Form found but no fields filled,Loaded,8.9,Not found,Found,0,,,,,,
https://outreachx.digital,Skipped,"Load error: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://nectardx.com,Skipped,"Load error: unknown error: net::ERR_SSL_PROTOCOL_ERROR
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://seomaisters.com,Failed,No contact form found after all strategies,Loaded,1.3,Not found,Not found,,,,,,,
https://ralphdigital.com/contact/,Success,Verified thank-you / redirect,Loaded,8.4,Opened,Found,6,"company,full_name,email,phone,select:What can we help you with?,message","first_name,last_name,website,job_title,subject,budget,address",,Not present,Clicked: 'SUBMIT YOUR REQUEST' (score=95),Success detected
https://socialmedianyc.agency/#contact-section,Failed,Submitted but no confirmation detected,Loaded,4.9,Opened,Found,4,"full_name,email,subject,message","first_name,last_name,phone,company,website,job_title,budget,address",,Not present,Clicked: 'Send' (score=120),No confirmation
https://socialflyny.com/contact-us/,Failed,Form found but no fields filled,Loaded,5.0,Opened,Found,0,,,,,,
https://sukacreative.com/contact/,Failed,No contact form found after all strategies,Loaded,2.8,Opened,Not found,,,,,,,
https://www.hypeinnyc.com/,Failed,No contact form found after all strategies,Loaded,1.2,Not found,Not found,,,,,,,
https://smanyc.com/,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.366
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://riot.nyc/,Partial,Submitted but missing:  name,Loaded,3.6,Not found,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit' (score=115),Success detected
https://www.horizonmedia.com,Failed,No contact form found after all strategies,Loaded,5.4,Not found,Not found,,,,,,,
https://sabrinacompany.com/,Failed,No contact form found after all strategies,Loaded,3.8,Not found,Not found,,,,,,,
https://firstagency.com/contact/,Failed,Form found but no fields filled,Loaded,3.8,Opened,Found,0,,,,,,
https://mccann.com/,Failed,No contact form found after all strategies,Loaded,4.6,Not found,Not found,,,,,,,
https://www.osmos.co/contact,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.373
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://vmgroupe.com/contact/,Failed,Submitted but no confirmation detected,Loaded,0.8,Opened,Found,7,"first_name,last_name,company,email,select:Desired Services
Strategy & Storytelling
Brand Identity
Packaging
Content Creation IRL
Content Creation CGI
Website Design & Development
Performance Marketing
Growth PR
Events & Experiences
Spatial Design + Build,select:Timing
We need to start stat!
We have some time (meaning need it next month)
We're a well running machine, and have time (3+ months)
We're just fishing,select:Budget Parameters
$35,000 - $50,000
$50,000 - $100,000
$100,000 - $250,000
$250,000 - $400,000
$500,000+","full_name,phone,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
https://www.plutusmedia.com/contact-us/,Failed,Submitted but no confirmation detected,Loaded,3.1,Opened,Found,4,"full_name,email,company,message","first_name,last_name,phone,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
https://www.havas.com/investor-relations-shareholders/financial-and-ir-calendar-contact/,Failed,No contact form found after all strategies,Loaded,2.2,Opened,Not found,,,,,,,
https://rga.com/,Skipped,"Load error: timeout: Timed out receiving message from renderer: 18.813
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://thetascgroup.com/contact-us/,Failed,reCAPTCHA not solved at post-submit,Loaded,2.6,Opened,Found,5,"first_name,company,email,phone,message","last_name,full_name,website,job_title,subject,budget,address",,Not solved at post-submit: reCAPTCHA v2,Clicked: 'Submit' (score=120),
https://fabulousmedia.org,Success,Verified thank-you / redirect,Loaded,0.5,Not found,Found,4,"full_name,email,company,message","first_name,last_name,phone,website,job_title,subject,budget,address",,Not present,Clicked: 'Send Message' (score=105),Success detected
https://www.cmmpr.com/contact,Success,Verified thank-you / redirect,Loaded,2.5,Opened,Found,5,"first_name,last_name,email,subject,message","full_name,phone,company,website,job_title,budget,address",,Not present,Clicked: 'Keyboard shortcuts' (score=10),Success detected
https://collectiveworld.com/contact,Failed,Submitted but no confirmation detected,Loaded,4.5,Opened,Found,6,"first_name,last_name,company,phone,email,message","full_name,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),No confirmation
https://www.hdmedits.com/,Failed,Form found but no fields filled,Loaded,6.6,Not found,Found,0,,"first_name,last_name,full_name,email,phone,company,website,job_title,subject,message,budget,address",,,,
https://www.zenithusa.com/contact,Skipped,"Load error: timeout: Timed out receiving message from renderer: 19.278
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://www.anomaly.com/contact,Failed,No contact form found after all strategies,Loaded,16.2,Opened,Not found,,,,,,,
https://yardnyc.com/,Failed,No contact form found after all strategies,Loaded,3.9,Not found,Not found,,,,,,,
https://www.nuwamarketing.com/contact,Failed,Submitted but no confirmation detected,Loaded,2.8,Opened,Found,5,"first_name,last_name,email,subject,message","full_name,phone,company,website,job_title,budget,address",,Not present,form.submit(): form[0],No confirmation
https://www.sableandslatemedia.com,Failed,No contact form found after all strategies,Loaded,1.8,Not found,Not found,,,,,,,
https://www.digitas.com/en-in/lets-connect,Failed,Submitted but no confirmation detected,Loaded,3.8,Opened,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Toggle menu' (score=45),No confirmation
https://bmgww.com,Failed,No contact form found after all strategies,Loaded,0.6,Not found,Not found,,,,,,,
https://www.msanewyork.com/,Failed,No contact form found after all strategies,Loaded,2.7,Not found,Not found,,,,,,,
https://www.wk.com/contact/,Failed,No contact form found after all strategies,Loaded,3.0,Opened,Not found,,,,,,,
https://kota.co.uk/contact/,Failed,Submitted but no confirmation detected,Loaded,3.1,Opened,Found,5,"first_name,last_name,email,budget,message","full_name,phone,company,website,job_title,subject,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
https://drmarionline.com,Skipped,"Load error: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://www.squeaky.com/#contact,Failed,No contact form found after all strategies,Loaded,4.2,Opened,Not found,,,,,,,
https://digital-agency.info,Failed,No contact form found after all strategies,Loaded,0.3,Not found,Not found,,,,,,,
https://www.found.co.uk/contact/,Failed,Submitted but no confirmation detected,Loaded,3.9,Opened,Found,6,"last_name,email,phone,website,select:HOW DID YOU HEAR ABOUT US?,message","first_name,full_name,company,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),No confirmation
https://www.codeandtheory.com/,Partial,Submitted but missing:  name,Loaded,7.2,Not found,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit Email' (score=110),Success detected
https://redppc.com/offices/new-york-ppc-agency/,Skipped,"Load error: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://david.market/contact/,Failed,Submit failed: No submit button,Loaded,3.4,Opened,Found,5,"first_name,last_name,email,phone,message","full_name,company,website,job_title,subject,budget,address",,Not present,No submit button found,No success detected
https://www.ppcnerd.com,Failed,No contact form found after all strategies,Loaded,0.9,Not found,Not found,,,,,,,
https://www.gourmetmarketing.net/,Failed,Form found but no fields filled,Loaded,8.2,Not found,Found,0,,,,,,
https://finetouchmarketing.com,Failed,No contact form found after all strategies,Loaded,10.6,Not found,Not found,,,,,,,
https://www.velocitysellers.com/contact/,Failed,No contact form found after all strategies,Loaded,4.9,Opened,Not found,,,,,,,
https://ppcleaders.com,Failed,No contact form found after all strategies,Loaded,1.9,Not found,Not found,,,,,,,
https://tryadhawk.com,Skipped,"Load error: timeout: Timed out receiving message from renderer: 0.721
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://1topagency.com,Failed,No contact form found after all strategies,Loaded,4.3,Not found,Not found,,,,,,,
https://proactiveplusppc.com,Failed,No contact form found after all strategies,Loaded,0.3,Not found,Not found,,,,,,,
https://clectiq.com,Skipped,"Load error: timeout: Timed out receiving message from renderer: 18.752
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://igppc.com/contact/,Skipped,reCAPTCHA v2 rate-limited at pre-submit,Loaded,3.2,Opened,Found,4,"full_name,phone,email,message","first_name,last_name,company,website,job_title,subject,budget,address",,Rate-limited at pre-submit: reCAPTCHA v2,,
https://digitaldot.com,Failed,No contact form found after all strategies,Loaded,1.5,Not found,Not found,,,,,,,
https://www.compuvate.com/how-can-we-help/,Skipped,reCAPTCHA v2 rate-limited at pre-submit,Loaded,3.4,Not found,Found,7,"full_name,email,phone,company,website,select:What's Your Monthly Budget for This?*,message","first_name,last_name,job_title,subject,budget,address",,Rate-limited at pre-submit: reCAPTCHA v2,,
https://www.ebizuniverse.com/contact-us/,Skipped,reCAPTCHA v2 rate-limited at pre-submit,Loaded,2.2,Opened,Found,7,"first_name,last_name,email,phone,company,website,message","full_name,job_title,subject,budget,address",,Rate-limited at pre-submit: reCAPTCHA v2,,
https://velocityppc.com/contact/,Success,Verified thank-you / redirect,Loaded,4.4,Opened,Found,5,"first_name,last_name,email,phone,message","full_name,company,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=105),Success detected
https://forwardppc.com,Failed,No contact form found after all strategies,Loaded,1.9,Not found,Not found,,,,,,,
https://acadia.io/hire-us/,Partial,Submitted but missing:  name,Loaded,6.9,Not found,Found,1,email,"first_name,last_name,full_name,phone,company,website,job_title,subject,message,budget,address",,Not present,Clicked: 'Submit' (score=105),Success detected
https://buzzvire.com/lets-talk/,Failed,,Loaded,2.2,Not found,Found,5,"first_name,last_name,email,subject,message","full_name,phone,company,website,job_title,budget,address",,Image OCR failed at pre-submit,,
https://barkernyc.com/contact/,Failed,No contact form found after all strategies,Loaded,4.1,Opened,Not found,,,,,,,
https://nx3healthcare.com,Skipped,"Load error: timeout: Timed out receiving message from renderer: -0.024
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://www.agencyplatform.com/contact/,Skipped,"Load error: timeout: Timed out receiving message from renderer: 17.046
  (Session info: chrome=146.0.7680.164)",Error,,,,,,,,,,
https://bragsocial.com/contact/,Failed,Submitted but no confirmation detected,Loaded,5.5,Opened,Found,6,"full_name,email,phone,address,subject,message","first_name,last_name,company,website,job_title,budget",,Not present,Clicked: 'Send message' (score=120),No confirmation
https://www.directagents.com/contact-us/,Failed,Submitted but no confirmation detected,Loaded,3.0,Opened,Found,5,"first_name,last_name,email,company,message","full_name,phone,website,job_title,subject,budget,address",,Not present,Clicked: 'Submit' (score=120),No confirmation
https://expireddomains.com/contact,Failed,No contact form found after all strategies,Loaded,1.4,Not found,Not found,,,,,,,
